time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
1184.056,87,775,nan,17.2,39.8,0.23,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.107,87,879,nan,16.43,39.7,0.47,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.158,87,888,nan,16.43,39.7,0.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.239,87,1176,nan,16.43,39.6,1.33,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.259,87,1401,nan,16.43,39.6,1.29,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.308,87,1329,nan,16.43,39.6,1.72,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.359,87,1059,nan,16.43,39.5,2.5,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.409,87,846,nan,16.43,39.4,2.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.462,87,839,nan,16.43,39.4,2.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.509,87,820,nan,16.43,39.5,2.23,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.587,87,1110,nan,16.43,39.6,1.76,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.61,87,1229,nan,16.43,39.5,1.92,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.688,87,1115,nan,16.18,39.5,2.5,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.714,87,952,nan,16.18,39.5,2.11,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.794,87,895,nan,16.18,39.6,1.45,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.812,87,975,nan,16.18,39.7,0.78,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.894,87,1038,nan,16.18,39.7,0.82,3,nan,nan,nan,nan,nan,nan,nan,nan
1184.917,87,1455,nan,16.18,39.6,1.56,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.001,87,1698,nan,16.18,39.5,2.58,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.017,87,1443,nan,16.18,39.4,3.49,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.101,87,1074,nan,16.18,39.3,4.15,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.117,87,932,nan,16.18,39.2,4.9,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.168,87,915,nan,16.27,39.2,5.01,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.217,87,1084,nan,16.27,39.3,4.27,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.266,87,1250,nan,16.27,39.4,3.41,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.319,87,1343,nan,16.27,39.4,2.74,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.366,87,1182,nan,16.27,39.4,2.94,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.423,87,983,nan,16.27,39.5,2.7,3,nan,nan,nan,nan,nan,nan,nan,nan
1185.468,87,1025,nan,16.27,39.6,1.84,3,nan,nan,nan,nan,nan,nan,nan,nan
