time_s,cadence_rpm,torque_raw_native,torque_ckg,wheel_speed_kph,battery_voltage_v,battery_current_a,assist_level,brake,walk,motor_erps,iq_actual,pas_ab,pas_direction,recorded_iq_request,recorded_iq_ref
237.394,75,1102,nan,14.21,40.5,0.74,2,nan,nan,nan,nan,nan,nan,nan,nan
237.444,75,969,nan,14.21,40.5,0.98,2,nan,nan,nan,nan,nan,nan,nan,nan
237.517,75,781,nan,14.21,40.5,0.9,2,nan,nan,nan,nan,nan,nan,nan,nan
237.544,75,744,nan,14.21,40.5,0.78,2,nan,nan,nan,nan,nan,nan,nan,nan
237.623,75,744,nan,14.21,40.5,0.86,2,nan,nan,nan,nan,nan,nan,nan,nan
237.649,75,744,nan,14.21,40.5,0.86,2,nan,nan,nan,nan,nan,nan,nan,nan
237.696,75,805,nan,14.21,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
237.781,75,966,nan,14.21,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
237.797,75,988,nan,14.28,40.5,0.9,2,nan,nan,nan,nan,nan,nan,nan,nan
237.873,75,874,nan,14.28,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
237.897,75,744,nan,14.28,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
237.947,75,744,nan,14.28,40.5,0.78,2,nan,nan,nan,nan,nan,nan,nan,nan
238.003,75,744,nan,14.28,40.5,0.74,2,nan,nan,nan,nan,nan,nan,nan,nan
238.05,75,744,nan,14.28,40.5,0.74,2,nan,nan,nan,nan,nan,nan,nan,nan
238.124,75,744,nan,14.28,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
238.151,75,879,nan,14.28,40.5,0.7,2,nan,nan,nan,nan,nan,nan,nan,nan
238.203,75,937,nan,14.28,40.5,0.86,2,nan,nan,nan,nan,nan,nan,nan,nan
238.251,75,773,nan,14.28,40.5,0.86,2,nan,nan,nan,nan,nan,nan,nan,nan
238.303,75,744,nan,14.28,40.5,0.82,2,nan,nan,nan,nan,nan,nan,nan,nan
238.374,75,744,nan,14.3,40.5,0.78,2,nan,nan,nan,nan,nan,nan,nan,nan
